file;size;time(s)
../data/regular/regular_10.txt;11;3.082500e-05
../data/regular/regular_100.txt;101;8.352570e-04
../data/regular/regular_1000.txt;1001;6.135383e-02
../data/regular/regular_10000.txt;10001;2.403541e+00
../data/regular/regular_10.txt;11;8.568000e-06
../data/regular/regular_100.txt;101;2.947430e-04
../data/regular/regular_1000.txt;1001;2.184381e-02
../data/regular/regular_10000.txt;10001;2.005192e+00
../data/regular/regular_10.txt;11;3.231500e-05
../data/regular/regular_100.txt;101;3.365080e-04
../data/regular/regular_1000.txt;1001;2.283297e-02
../data/regular/regular_10000.txt;10001;2.007230e+00
../data/regular/regular_10.txt;11;9.015000e-06
../data/regular/regular_100.txt;101;4.373450e-04
../data/regular/regular_1000.txt;1001;2.314642e-02
../data/regular/regular_10000.txt;10001;2.008236e+00
../data/regular/regular_10.txt;11;9.143000e-06
../data/regular/regular_100.txt;101;3.258650e-04
../data/regular/regular_1000.txt;1001;2.334253e-02
../data/regular/regular_10000.txt;10001;2.007614e+00
../data/regular/regular_10.txt;11;8.989000e-06
../data/regular/regular_100.txt;101;3.096860e-04
../data/regular/regular_1000.txt;1001;2.174524e-02
../data/regular/regular_10000.txt;10001;2.319589e+00
../data/regular/regular_10.txt;11;3.320100e-05
../data/regular/regular_100.txt;101;9.096120e-04
../data/regular/regular_1000.txt;1001;5.509895e-02
../data/regular/regular_10000.txt;10001;2.248927e+00
../data/regular/regular_10.txt;11;2.982600e-05
../data/regular/regular_100.txt;101;9.199520e-04
../data/regular/regular_1000.txt;1001;5.371338e-02
../data/regular/regular_10000.txt;10001;2.286215e+00
../data/regular/regular_10.txt;11;8.654000e-06
../data/regular/regular_100.txt;101;2.982560e-04
../data/regular/regular_1000.txt;1001;2.168405e-02
../data/regular/regular_10000.txt;10001;2.001062e+00
../data/spiral/spiral_10.txt;11;3.357700e-05
../data/spiral/spiral_100.txt;101;1.436950e-04
../data/spiral/spiral_1000.txt;1001;4.411737e-03
../data/spiral/spiral_10000.txt;10001;2.913954e-01
../data/spiral/spiral_100000.txt;100001;2.998028e+01
../data/spiral/spiral_10.txt;11;3.336900e-05
../data/spiral/spiral_100.txt;101;1.419340e-04
../data/spiral/spiral_1000.txt;1001;4.745430e-03
../data/spiral/spiral_10000.txt;10001;2.978797e-01
../data/spiral/spiral_100000.txt;100001;3.001955e+01
../data/spiral/spiral_10.txt;11;4.161900e-05
../data/spiral/spiral_100.txt;101;3.090850e-04
../data/spiral/spiral_1000.txt;1001;7.367839e-03
../data/spiral/spiral_10000.txt;10001;3.391759e-01
../data/spiral/spiral_100000.txt;100001;2.998093e+01
../data/spiral/spiral_10.txt;11;9.211000e-06
../data/spiral/spiral_100.txt;101;2.820930e-04
../data/spiral/spiral_1000.txt;1001;4.439712e-03
../data/spiral/spiral_10000.txt;10001;2.911554e-01
../data/spiral/spiral_100000.txt;100001;3.075660e+01
../data/spiral/spiral_10.txt;11;3.362500e-05
../data/spiral/spiral_100.txt;101;5.026920e-04
../data/spiral/spiral_1000.txt;1001;1.282874e-02
../data/spiral/spiral_10000.txt;10001;4.759957e-01
../data/spiral/spiral_100000.txt;100001;3.012505e+01
../data/spiral/spiral_10.txt;11;3.155800e-05
../data/spiral/spiral_100.txt;101;2.109020e-04
../data/spiral/spiral_1000.txt;1001;5.757347e-03
../data/spiral/spiral_10000.txt;10001;3.179641e-01
../data/spiral/spiral_100000.txt;100001;3.007406e+01
../data/spiral/spiral_10.txt;11;4.464000e-05
../data/spiral/spiral_100.txt;101;4.781840e-04
../data/spiral/spiral_1000.txt;1001;1.196292e-02
../data/spiral/spiral_10000.txt;10001;3.911503e-01
../data/spiral/spiral_100000.txt;100001;3.019380e+01
../data/spiral/spiral_10.txt;11;9.245000e-06
../data/spiral/spiral_100.txt;101;1.471330e-04
../data/spiral/spiral_1000.txt;1001;4.181993e-03
../data/spiral/spiral_10000.txt;10001;2.889478e-01
../data/spiral/spiral_100000.txt;100001;3.003352e+01
../data/spiral/spiral_10.txt;11;3.372300e-05
../data/spiral/spiral_100.txt;101;5.128470e-04
../data/spiral/spiral_1000.txt;1001;1.232375e-02
../data/spiral/spiral_10000.txt;10001;3.777073e-01
../data/spiral/spiral_100000.txt;100001;2.997676e+01
../data/caxeiro/polygon_10000_1.txt;10001;9.481098e-01
../data/caxeiro/polygon_10000_2.txt;10001;8.441401e-01
../data/caxeiro/polygon_10000_3.txt;10001;4.668488e-01
../data/caxeiro/polygon_10000_4.txt;10001;6.332984e-01
../data/caxeiro/polygon_10000_5.txt;10001;9.235653e-01
../data/caxeiro/polygon_10000_6.txt;10001;8.968422e-01
../data/caxeiro/polygon_10000_7.txt;10001;5.602421e-01
../data/caxeiro/polygon_10000_8.txt;10001;6.616778e-01
../data/caxeiro/polygon_10000_9.txt;10001;4.620129e-01
../data/caxeiro/polygon_1000_1.txt;1001;8.574959e-03
../data/caxeiro/polygon_1000_2.txt;1001;8.198537e-03
../data/caxeiro/polygon_1000_3.txt;1001;8.631296e-03
../data/caxeiro/polygon_1000_4.txt;1001;8.646099e-03
../data/caxeiro/polygon_1000_5.txt;1001;1.272985e-02
../data/caxeiro/polygon_1000_6.txt;1001;1.255910e-02
../data/caxeiro/polygon_1000_7.txt;1001;1.496482e-02
../data/caxeiro/polygon_1000_8.txt;1001;1.437052e-02
../data/caxeiro/polygon_1000_9.txt;1001;1.400293e-02
../data/caxeiro/polygon_1000.txt;1001;2.104327e-02
../data/caxeiro/polygon_100_1.txt;101;3.549780e-04
../data/caxeiro/polygon_100_2.txt;101;3.482830e-04
../data/caxeiro/polygon_100_3.txt;101;3.752930e-04
../data/caxeiro/polygon_100_4.txt;101;3.823280e-04
../data/caxeiro/polygon_100_5.txt;101;4.878170e-04
../data/caxeiro/polygon_100_6.txt;101;4.766900e-04
../data/caxeiro/polygon_100_7.txt;101;5.450420e-04
../data/caxeiro/polygon_100_8.txt;101;5.959750e-04
../data/caxeiro/polygon_100_9.txt;101;5.282920e-04
../data/caxeiro/polygon_10_1.txt;11;1.942200e-05
../data/caxeiro/polygon_10_2.txt;11;2.078000e-05
../data/caxeiro/polygon_10_3.txt;11;2.196500e-05
../data/caxeiro/polygon_10_4.txt;11;3.364600e-05
../data/caxeiro/polygon_10_5.txt;11;2.171400e-05
../data/caxeiro/polygon_10_6.txt;11;3.303300e-05
../data/caxeiro/polygon_10_7.txt;11;4.014400e-05
../data/caxeiro/polygon_10_8.txt;11;3.350500e-05
../data/caxeiro/polygon_10_9.txt;11;3.332000e-05
../data/caxeiro/polygon_5000_1.txt;5001;3.276566e-01
../data/caxeiro/polygon_5000_2.txt;5001;3.094937e-01
../data/caxeiro/polygon_5000_3.txt;5001;2.124550e-01
../data/caxeiro/polygon_5000_4.txt;5001;1.954365e-01
../data/caxeiro/polygon_5000_5.txt;5001;1.686127e-01
../data/caxeiro/polygon_5000_6.txt;5001;1.804578e-01
../data/caxeiro/polygon_5000_7.txt;5001;2.567748e-01
../data/caxeiro/polygon_5000_8.txt;5001;2.704560e-01
../data/caxeiro/polygon_5000_9.txt;5001;3.844684e-01
../data/caxeiro/polygon_500_1.txt;501;5.538918e-03
../data/caxeiro/polygon_500_2.txt;501;5.315080e-03
../data/caxeiro/polygon_500_3.txt;501;5.055650e-03
../data/caxeiro/polygon_500_4.txt;501;4.988736e-03
../data/caxeiro/polygon_500_5.txt;501;5.026326e-03
../data/caxeiro/polygon_500_6.txt;501;4.153953e-03
../data/caxeiro/polygon_500_7.txt;501;4.165557e-03
../data/caxeiro/polygon_500_8.txt;501;4.162652e-03
../data/caxeiro/polygon_500_9.txt;501;9.853655e-03
../data/caxeiro/polygon_50_1.txt;51;2.401880e-04
../data/caxeiro/polygon_50_2.txt;51;2.404200e-04
../data/caxeiro/polygon_50_3.txt;51;2.463350e-04
../data/caxeiro/polygon_50_4.txt;51;2.627620e-04
../data/caxeiro/polygon_50_5.txt;51;2.367760e-04
../data/caxeiro/polygon_50_6.txt;51;2.470080e-04
../data/caxeiro/polygon_50_7.txt;51;2.532250e-04
../data/caxeiro/polygon_50_8.txt;51;2.619100e-04
../data/caxeiro/polygon_50_9.txt;51;2.385520e-04
../data/regular/regular_100000.txt;100001;2.045668e+02
../data/regular/regular_100000.txt;100001;2.036261e+02
../data/regular/regular_100000.txt;100001;2.044610e+02
../data/regular/regular_100000.txt;100001;2.039355e+02
../data/regular/regular_100000.txt;100001;2.042651e+02
../data/regular/regular_100000.txt;100001;2.038210e+02
../data/regular/regular_100000.txt;100001;2.038490e+02
../data/regular/regular_100000.txt;100001;2.039716e+02
../data/regular/regular_100000.txt;100001;2.035310e+02
